бу<DET>	бу
баар<AUX><Number=Plur><Person=1><Tense=Pres>	баарбыт

баар<AUX><Number=Plur><Person=3><Tense=Pres>	бааллар

уонна<CCONJ>	уонна

эрээри<CCONJ>	эрээри

син<INTJ>	син

баһаалыста<INTJ>	баһаалыста

аа<INTJ>	аа

чэ<INTJ>	чэ

мэ<INTJ>	мэ

эһээ<INTJ>	эһээ

дуо<PART>	дуо

эрэ<PART>	эрэ

дуу<PART>	дуу

буолуой<PART>	буолуой

бар<VERB><Clusivity=In><Mood=Imp><Number=Sing><Person=1><Tense=Pres>	барыах

бар<VERB><Int=Yes><Number=Plur><Person=3><Tense=Pres>	баралларый

бар<VERB><Int=Yes><Number=Sing><Person=3><Tense=Pres>	барарый

тиэй<VERB><Int=Yes><Number=Sing><Person=3><Tense=Pres>	тиэйэрий

үөрэн<VERB><Int=Yes><Number=Sing><Person=3><Tense=Pres>	үөрэнэрий

эмтээ<VERB><Int=Yes><Number=Sing><Person=3><Tense=Pres>	эмтиирий

гын<VERB><Int=Yes><Number=Sing><Person=3><Tense=Pres>	гынарый

ас<VERB><Mood=Imp><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	аһымаҥ

сап<VERB><Mood=Imp><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	сабымаҥ

ыҥыырдаа<VERB><Mood=Imp><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	ыҥыырдаамаҥ

киллэр<VERB><Mood=Imp><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	киллэримэҥ

сууй<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	сууйуҥ

эбиэттээ<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	эбиэттэҥ

ас<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	аһыҥ

кэл<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	кэлиҥ

сот<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	сотуҥ

ис<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	иһиҥ

сиэ<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	сиэҥ

тур<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	туруҥ

олор<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	олоруҥ

аһаа<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	аһааҥ

аһаа<VERB><Mood=Imp><Number=Sing><Person=2><Polarity=Neg><Tense=Pres>	аһаама

сиэ<VERB><Mood=Imp><Number=Sing><Person=2><Polarity=Neg><Tense=Pres>	сиэмэ

быс<VERB><Mood=Imp><Number=Sing><Person=2><Polarity=Neg><Tense=Pres>	быһыма

уур<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	уур

кут<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	кут

аах<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	аах

суруй<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	суруй

тур<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	тур

кэпсээ<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	кэпсээ

кэл<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	кэл

олор<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	олор

ыл<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	ыл

кэт<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	кэт

ис<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	ис

бул<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	бул

көр<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	көр

ыйаа<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	ыйаа

атыылас<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	атыылас

бар<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	бар

быс<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	быс

уруһуйдаа<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	уруһуйдаа

сиэ<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	сиэ

биэр<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	биэр

аһаа<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	аһаа

аҕал<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	аҕал

ыллаа<VERB><Mood=Imp><Number=Sing><Person=3><Tense=Pres>	ыллаатин

сиэ<VERB><Mood=Imp><Number=Sing><Person=3><Tense=Pres>	сиэтин

аах<VERB><Number=Plur><Person=1><Polarity=Neg><Tense=Pres>	аахпаппыт

тоҥ<VERB><Number=Plur><Person=1><Polarity=Neg><Tense=Pres>	тоҥмоппут

балыктаа<VERB><Number=Plur><Person=1><Tense=Fut>	балыктыахпыт

бар<VERB><Number=Plur><Person=1><Tense=NearPast>	бардыбыт

утуй<VERB><Number=Plur><Person=1><Tense=Pres>	утуйабыт

ыйаа<VERB><Number=Plur><Person=1><Tense=Pres>	ыйыыбыт

ыл<VERB><Number=Plur><Person=1><Tense=Pres>	ылабыт

оҥор<VERB><Number=Plur><Person=1><Tense=Pres>	оҥоробут

үөрэн<VERB><Number=Plur><Person=1><Tense=Pres>	үөрэнэбит

быс<VERB><Number=Plur><Person=2><Polarity=Neg><Tense=NearPast>	быспатыгыт

көлүй<VERB><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	көлүйбэккит

кэл<VERB><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	кэлбэккит

бил<VERB><Number=Plur><Person=2><Tense=Pres>	билэҕит

тиэй<VERB><Number=Plur><Person=2><Tense=Pres>	тиэйэҕит

биэр<VERB><Number=Plur><Person=2><Tense=Pres>	биэрэҕит

бар<VERB><Number=Plur><Person=2><Tense=Pres>	бараҕыт

үөрэн<VERB><Number=Plur><Person=2><Tense=Pres>	үөрэнэҕит

тик<VERB><Number=Plur><Person=3><Polarity=Neg><Tense=Pres>	тикпэттэр

киир<VERB><Number=Plur><Person=3><Polarity=Neg><Tense=Pres>	киирбэттэр

оҕус<VERB><Number=Plur><Person=3><Tense=Fut>	охсуохтара

тиэй<VERB><Number=Plur><Person=3><Tense=Fut>	тиэйиэхтэрэ

кэр<VERB><Number=Plur><Person=3><Tense=Fut>	кэрдиэхтэрэ

көлүй<VERB><Number=Plur><Person=3><Tense=Fut>	көлүйүөхтэрэ

кэл<VERB><Number=Plur><Person=3><Tense=NearPast>	кэллилэр

бултаа<VERB><Number=Plur><Person=3><Tense=NearPast>	бултаатылар

бар<VERB><Number=Plur><Person=3><Tense=NearPast>	бардылар

аһаа<VERB><Number=Plur><Person=3><Tense=NearPast>	аһаатылар

утар<VERB><Number=Plur><Person=3><Tense=PastPerf>	утарбыттара

ыйаа<VERB><Number=Plur><Person=3><Tense=Pres>	ыйыыллар

туруор<VERB><Number=Plur><Person=3><Tense=Pres>	туруораллар

таптаа<VERB><Number=Plur><Person=3><Tense=Pres>	таптыыллар

аһаа<VERB><Number=Plur><Person=3><Tense=Pres>	аһыыллар

гын<VERB><Number=Plur><Person=3><Tense=Pres>	гыналлар

сиэ<VERB><Number=Plur><Person=3><Tense=Pres>	сииллэр

үлэлээ<VERB><Number=Plur><Person=3><Tense=Pres>	үлэлииллэр

утуй<VERB><Number=Plur><Person=3><Tense=Pres>	утуйаллар

аах<VERB><Number=Plur><Person=3><Tense=Pres>	ааҕаллар

үөрэн<VERB><Number=Plur><Person=3><Tense=Pres>	үөрэнэллэр

суруй<VERB><Number=Plur><Person=3><Tense=Pres>	суруйаллар

ыл<VERB><Number=Plur><Person=3><Tense=Pres>	ылаллар

атыылаа<VERB><Number=Plur><Person=3><Tense=Pres>	атыылыыллар

олор<VERB><Number=Plur><Person=3><Tense=Pres>	олороллор

бултаа<VERB><Number=Plur><Person=3><Tense=Pres>	бултууллар

тур<VERB><Number=Plur><Person=3><Tense=Pres>	тураллар

уур<VERB><Number=Plur><Person=3><Tense=Pres>	уураллар

атыылас<VERB><Number=Plur><Person=3><Tense=Pres>	атыылаһаллар

иһит<VERB><Number=Plur><Person=3><Tense=Pres>	истэллэр

балыктаа<VERB><Number=Plur><Person=3><Tense=Pres>	балыктыыллар

биэр<VERB><Number=Plur><Person=3><Tense=Pres>	биэрэллэр

хайыһардаа<VERB><Number=Plur><Person=3><Tense=Pres>	хайыһардыыллар

үлэлээ<VERB><Number=Sing><Person=1><Tense=Fut>	үлэлиэҕим

ыл<VERB><Number=Sing><Person=1><Tense=Fut>	ылыаҕым

кэл<VERB><Number=Sing><Person=1><Tense=NearPast>	кэллим

ыыт<VERB><Number=Sing><Person=1><Tense=NearPast>	ыыттым

өлөр<VERB><Number=Sing><Person=1><Tense=NearPast>	өлөрдүм

сууй<VERB><Number=Sing><Person=1><Tense=NearPast>	сууннум

түс<VERB><Number=Sing><Person=1><Tense=PastPerf>	түспүтүм

олор<VERB><Number=Sing><Person=1><Tense=PastPerf>	олорбутум

көр<VERB><Number=Sing><Person=1><Tense=PastPerf>	көрбүтүм

бил<VERB><Number=Sing><Person=1><Tense=PastPerf>	билбитим

көт<VERB><Number=Sing><Person=1><Tense=PastPerf>	көппүтүм

үөрэн<VERB><Number=Sing><Person=1><Tense=Pres>	үөрэнэбин

аах<VERB><Number=Sing><Person=1><Tense=Pres>	ааҕабын

бил<VERB><Number=Sing><Person=2><Polarity=Neg><Tense=Pres>	билбэккин

буол<VERB><Number=Sing><Person=2><Tense=Fut>	буолуоҥ

манаа<VERB><Number=Sing><Person=2><Tense=Fut>	маныаҕыҥ

суулун<VERB><Number=Sing><Person=2><Tense=PastPerf>	сууллубутуҥ

кэт<VERB><Number=Sing><Person=2><Tense=Pres>	кэтэҕин

көр<VERB><Number=Sing><Person=2><Tense=Pres>	көрөҕүн

үөрэн<VERB><Number=Sing><Person=2><Tense=Pres>	үөрэнэҕин

гын<VERB><Number=Sing><Person=2><Tense=Pres>	гынаҕын

ыа<VERB><Number=Sing><Person=2><Tense=Pres>	ыыгын

таптаа<VERB><Number=Sing><Person=2><Tense=Pres>	таптыыгын

буол<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=PastResultI>	буолбатах

киир<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	киирбэт

көр<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	көрбөт

ыарый<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	ыалдьыбат

үөрэн<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	үөрэммэт

саҥар<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	саҥарбат

кэт<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	кэппэт

ыл<VERB><Number=Sing><Person=3><Tense=Fut>	ылыаҕа

аҕал<VERB><Number=Sing><Person=3><Tense=NearPast>	аҕалла

киир<VERB><Number=Sing><Person=3><Tense=NearPast>	киирдэ

быс<VERB><Number=Sing><Person=3><Tense=NearPast>	быста

тот<VERB><Number=Sing><Person=3><Tense=NearPast>	тотто

аһаа<VERB><Number=Sing><Person=3><Tense=NearPast>	аһаата

отун<VERB><Number=Sing><Person=3><Tense=NearPast>	отунна

кэл<VERB><Number=Sing><Person=3><Tense=NearPast>	кэллэ

ыл<VERB><Number=Sing><Person=3><Tense=NearPast>	ылла

көрдөс<VERB><Number=Sing><Person=3><Tense=NearPast>	көрдөстө

эт<VERB><Number=Sing><Person=3><Tense=NearPast>	эттэ

бар<VERB><Number=Sing><Person=3><Tense=NearPast>	барда

атыылас<VERB><Number=Sing><Person=3><Tense=NearPast>	атыыласта

ыыт<VERB><Number=Sing><Person=3><Tense=NearPast>	ыытта

кут<VERB><Number=Sing><Person=3><Tense=NearPast>	кутта

сөтүөлээ<VERB><Number=Sing><Person=3><Tense=NearPast>	сөтүөлээтэ

киир<VERB><Number=Sing><Person=3><Tense=PastPerf>	киирбитэ

түс<VERB><Number=Sing><Person=3><Tense=PastPerf>	түспүтэ

туһалаа<VERB><Number=Sing><Person=3><Tense=PastPerf>	туһалаабыта

ыйыһын<VERB><Number=Sing><Person=3><Tense=PastResultI>	ыйыстыбыт

ыарый<VERB><Number=Sing><Person=3><Tense=Pres>	ыалдьар

үүн<VERB><Number=Sing><Person=3><Tense=Pres>	үүнэр

үөрэн<VERB><Number=Sing><Person=3><Tense=Pres>	үөрэнэр

туруор<VERB><Number=Sing><Person=3><Tense=Pres>	туруорар

үөрэт<VERB><Number=Sing><Person=3><Tense=Pres>	үөрэтэр

олор<VERB><Number=Sing><Person=3><Tense=Pres>	олорор

бар<VERB><Number=Sing><Person=3><Tense=Pres>	барар

сырыт<VERB><Number=Sing><Person=3><Tense=Pres>	сылдьар

кэт<VERB><Number=Sing><Person=3><Tense=Pres>	кэтэр

суруй<VERB><Number=Sing><Person=3><Tense=Pres>	суруйар

үөскээ<VERB><Number=Sing><Person=3><Tense=Pres>	үөскүүр

аах<VERB><Number=Sing><Person=3><Tense=Pres>	ааҕар

сууй<VERB><Number=Sing><Person=3><Tense=Pres>	суунар

аһаа<VERB><Number=Sing><Person=3><Tense=Pres>	аһыыр

оргуй<VERB><Number=Sing><Person=3><Tense=Pres>	оргуйар

өлөр<VERB><Number=Sing><Person=3><Tense=Pres>	өлөрөр

түс<VERB><Number=Sing><Person=3><Tense=Pres>	түһэр

тур<VERB><Number=Sing><Person=3><Tense=Pres>	турар

кэпсээ<VERB><Number=Sing><Person=3><Tense=Pres>	кэпсиир

утуй<VERB><Number=Sing><Person=3><Tense=Pres>	утуйар

ас<VERB><Number=Sing><Person=3><Tense=Pres>	аһар

иһит<VERB><Number=Sing><Person=3><Tense=Pres>	истэр

аас<VERB><Number=Sing><Person=3><Tense=Pres>	ааһар

таптаа<VERB><Number=Sing><Person=3><Tense=Pres>	таптыыр

ис<VERB><Number=Sing><Person=3><Tense=Pres>	иһэр

атыылаа<VERB><Number=Sing><Person=3><Tense=Pres>	атыылыыр

кэл<VERB><Number=Sing><Person=3><Tense=Pres>	кэлэр

көр<VERB><Number=Sing><Person=3><Tense=Pres>	көрөр

сиэ<VERB><Number=Sing><Person=3><Tense=Pres>	сиир

үлэлээ<VERB><Number=Sing><Person=3><Tense=Pres>	үлэлиир

киир<VERB><Number=Sing><Person=3><Tense=Pres>	киирэр

аһыы<VERB><Number=Sing><Person=3><Tense=Pres>	аһыыр

таҕыс<VERB><Number=Sing><Person=3><Tense=Pres>	тахсар

ыл<VERB><Number=Sing><Person=3><Tense=Pres>	ылар

буол<VERB><Number=Sing><Person=3><Tense=Pres>	буолар

оҕус<VERB><Number=Sing><Person=3><Tense=Pres>	охсор

сыт<VERB><Number=Sing><Person=3><Tense=Pres>	сытар

тоҥ<VERB><Number=Sing><Person=3><Tense=Pres>	тоҥор

ыа<VERB><Number=Sing><Person=3><Tense=Pres>	ыыр

үр<VERB><Number=Sing><Person=3><Tense=Pres>	үрэр

ыҥыр<VERB><Number=Sing><Person=3><Tense=Pres>	ыҥырар

гын<VERB><Number=Sing><Person=3><Tense=Pres>	гынар

уст<VERB><Number=Sing><Person=3><Tense=Pres>	устар

күл<VERB><Tense=Pres><VerbForm=Trans>	күлэ

үүн<VERB><Tense=Pres><VerbForm=Trans>	үүнэ

